Id,SalePrice
1461,125738.15840299868
1462,164667.7422082202
1463,183148.38427451678
1464,191949.00728715744
1465,195430.3653239505
1466,177363.99324334814
1467,163135.63666347504
1468,165909.77486705623
1469,187613.08869025705
1470,126725.34260843895
1471,192888.29283163688
1472,93791.43888701343
1473,92131.96194089582
1474,154229.16849251796
1475,126285.22082636063
1476,416932.51616218407
1477,262046.7654524581
1478,317109.95822367346
1479,276919.4320682406
1480,487068.0240608123
1481,340912.7393209639
1482,232653.8097509434
1483,161167.03249789783
1484,162461.29598812625
1485,178691.4496477642
1486,195740.18804474207
1487,388803.09625920164
1488,248184.56997167796
1489,212352.72001905445
1490,209661.550063997
1491,184532.25817938425
1492,90684.48855098488
1493,200026.4234327797
1494,301587.2192846416
1495,300989.8228464574
1496,237744.77391867767
1497,177036.04584300797
1498,163313.5528392876
1499,163255.4786515624
1500,149248.90749648487
1501,186913.93813169032
1502,149966.254653819
1503,313553.74700348114
1504,235828.12867931137
1505,237369.29434960464
1506,197292.62484605692
1507,250403.36990899986
1508,202275.44802943122
1509,164180.76181882437
1510,148347.9879275957
1511,141479.1679411774
1512,170912.10110312732
1513,149221.8171035005
1514,169415.27221600976
1515,196694.19922997447
1516,155428.12375590042
1517,149460.34704139727
1518,134615.71824903807
1519,231551.97755928
1520,138098.0517511426
1521,137714.35241346533
1522,167236.15898135083
1523,115124.87013002874
1524,122585.18916095817
1525,129231.11724382328
1526,120085.71595462979
1527,101534.28644432659
1528,127429.0140006951
1529,151025.00577567812
1530,187975.09028071575
1531,97528.05507322871
1532,93695.6235965097
1533,145870.07196171468
1534,118418.1749763592
1535,156629.6332841991
1536,118548.2731601157
1537,77047.59901364014
1538,195191.051626431
1539,199689.32106887852
1540,83823.17588952291
1541,144344.17374516517
1542,146802.91660785297
1543,239117.43205253207
1544,70333.78040882915
1545,106019.81806004408
1546,126807.06980585153
1547,145545.40680305316
1548,137497.97646913762
1549,108012.26695035408
1550,147564.3933352659
1551,100766.603013976
1552,135702.62322904982
1553,147812.77143597024
1554,110349.98798715536
1555,166308.00436679221
1556,83080.86065738265
1557,107580.62722691042
1558,92906.18615803875
1559,85347.0983527344
1560,136600.9684964367
1561,143106.8981233923
1562,128116.92356903793
1563,123605.53959956425
1564,153445.8557902441
1565,148165.09445057428
1566,223517.49594595877
1567,74149.85020473985
1568,228932.86411348855
1569,138877.86378853195
1570,125571.28197876533
1571,122741.80099843621
1572,143742.69408237585
1573,248157.9340162816
1574,114408.73371160397
1575,224671.93563549634
1576,230249.8693415876
1577,196350.7883450811
1578,154307.18903769035
1579,135420.2414631198
1580,193938.1105154686
1581,162445.10400456775
1582,127417.37022528697
1583,348671.82805724884
1584,228472.51281281165
1585,140288.4429176894
1586,89327.94084861437
1587,88633.04969436003
1588,155624.1923885857
1589,92962.37106353347
1590,133334.2860488414
1591,96570.36525601982
1592,122915.49964282701
1593,132404.7662488184
1594,126562.15910252761
1595,120545.0749539994
1596,257020.0767685665
1597,199592.43483852484
1598,208153.79611389097
1599,191419.1960809757
1600,188443.38568068232
1601,70285.06811474645
1602,112196.40269335159
1603,80375.76512872006
1604,291645.82338197506
1605,257681.35001180726
1606,168198.8666455136
1607,171456.22768678467
1608,214111.18660486373
1609,187716.1902015103
1610,141001.58680630274
1611,140096.81467916592
1612,165336.40865040073
1613,154357.4239808555
1614,124535.42422633698
1615,86830.89429225109
1616,72487.81643907768
1617,86801.73405114563
1618,129287.71674784551
1619,138675.32194772083
1620,151535.76155754845
1621,130306.48385446338
1622,147076.4089669583
1623,307258.35192863183
1624,220911.72020902933
1625,128117.62161452319
1626,167894.2328410426
1627,188289.62536934024
1628,285148.9754335077
1629,182238.17823660254
1630,423237.29116627475
1631,247360.7977068125
1632,259587.8974767054
1633,173520.8243823976
1634,181320.87806253115
1635,184929.10963674032
1636,151995.1835210444
1637,178040.02316709503
1638,201694.6082752377
1639,183972.91088889088
